Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB5 6XD,Yes,51.530351,-0.383857,512203,182509,TQ122825,6/1/1981 12:00:00 AM,,33,12,9
UB5 6XE,Yes,51.530178,-0.383661,512217,182490,TQ122824,6/1/1981 12:00:00 AM,,33,30,22
UB5 6XF,Yes,51.530396,-0.382543,512294,182516,TQ122825,6/1/1981 12:00:00 AM,,32,31,21
UB5 6XG,Yes,51.530705,-0.38148,512367,182552,TQ123825,6/1/1981 12:00:00 AM,,32,78,37
UB5 6XH,Yes,51.530718,-0.382416,512302,182552,TQ123825,10/1/1984 12:00:00 AM,,31,41,10
UB5 6XJ,Yes,51.537456,-0.393771,511498,183284,TQ114832,6/1/1981 12:00:00 AM,,36,20,6
UB5 6XL,No,51.534063,-0.388252,511889,182915,TQ118829,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,35,,
UB5 6XN,No,51.546772,-0.370915,513060,184355,TQ130843,6/1/1999 12:00:00 AM,9/1/2009 12:00:00 AM,42,,
UB5 6XP,No,51.534063,-0.388252,511889,182915,TQ118829,12/1/1999 12:00:00 AM,2/1/2001 12:00:00 AM,35,,
UB5 6XQ,Yes,51.530434,-0.382023,512330,182521,TQ123825,10/1/1984 12:00:00 AM,,32,40,22
UB5 6XR,Yes,51.529979,-0.38165,512357,182471,TQ123824,10/1/1985 12:00:00 AM,,32,69,22
UB5 6XS,No,51.546772,-0.370915,513060,184355,TQ130843,6/1/1997 12:00:00 AM,9/1/2001 12:00:00 AM,42,,
UB5 6XT,No,51.534063,-0.388252,511889,182915,TQ118829,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,35,,
UB5 6XU,No,51.534063,-0.388252,511889,182915,TQ118829,6/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,35,,
UB5 6XW,No,51.530251,-0.382462,512300,182500,TQ122824,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,32,,
UB5 6XX,No,51.546772,-0.370915,513060,184355,TQ130843,6/1/1997 12:00:00 AM,9/1/2003 12:00:00 AM,42,,
UB5 6XY,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/1996 12:00:00 AM,9/1/2009 12:00:00 AM,42,,
UB5 6XZ,No,51.534063,-0.388252,511889,182915,TQ118829,5/1/1994 12:00:00 AM,12/1/1997 12:00:00 AM,35,,
UB5 6YA,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/2000 12:00:00 AM,9/1/2001 12:00:00 AM,42,,
UB5 6YB,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/1996 12:00:00 AM,11/1/2006 12:00:00 AM,42,,
UB5 6YD,No,51.534063,-0.388252,511889,182915,TQ118829,6/1/1997 12:00:00 AM,10/1/2000 12:00:00 AM,35,,
UB5 6YF,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/1998 12:00:00 AM,8/1/2002 12:00:00 AM,42,,
